,,Unnamed: 0.1,Unnamed: 0,text,label,processed_text,pseudo_label,confidence,human_label
1,176,176,176,"Hey all! A few months ago I had posted here asking if anyone had any experiences with Zurzuvae. I had previously had PPD with my first baby and just had my second baby 3 weeks ago with an 18 month age gap. I also had no prior history of depression before getting PPD. I wanted to share my experience since it’s a fairly new drug and there wasn’t a whole lot of info out there when I started looking into it.
 

 I was able to get a prior authorization from my insurance to cover the Zurzuvae so I did have the actual prescription filled before I gave birth and only paid a $5 copay. If I didn’t have insurance it would’ve been upwards of $20,000. I started taking it the day I came home from the hospital (less than 48 hours after giving birth).
 

 Overall I immediately felt better after giving birth the second time than the first time around. Deliveries were both vaginal and generally pretty easy (including postpartum recovery). With my first the hormone drop was IMMEDIATE and I remember feeling weepy/sad literally the second she came out. This time around, even without taking the Zurzuvae yet, I felt way better and really experienced that “newborn bliss” everyone talks about. I’m 3 weeks pp and still feeling completely normal aside from a couple of random crying episodes (but honestly I attribute it to normal postpartum hormonal changes because they were so minor).
 

 While taking the Zurzuvae I didn’t experience any of the side effects people talked about on this sub- especially the tiredness. The only tiredness I really felt was normal newborn tired. I never really worried about the “eat something really fatty before taking” and aside from a little dizziness here and there had no side effects whatsoever.
 

 It’s hard to know for sure if the Zurzuvae kept the PPD away or if I just got lucky with the hormonal balance this time around, but either way if you can take it I’d recommend it- my personal opinion is that it won’t hurt to try!
 

 Also last thing to note- throughout my pregnancy and even now through postpartum I took/am taking a few vitamin supplements on top of my prenatals— iron, B6, D3. I started taking the B6 and D3 around 24 weeks pregnant and the iron around 32ish weeks pregnant. I’ve continued to take these postpartum and will continue to do so for 6 months (it took around 6 months for me to battle through the PPD last time). Obviously talk to your medical professional but I have a sneaking suspicion these supplements actually helped me keep the PPD at bay this time around. I’m not a doctor, this is purely an uneducated gut feeling �
 

 tldr Took Zurzuvae immediately after birth of my 2nd; no side effects and no PPD 3wks pp. Unsure if it was the Zurzuvae that helped or I just got lucky this time around.",,"hey month ago post ask anyone experience zurzuvae previously ppd first baby second baby  week ago  month age gap also prior history depression get ppd want share experience since fairly new drug not whole lot info start look 
 

  able get prior authorization insurance cover zurzuvae actual prescription fill give birth pay  copay not insurance would upwards  start take day come home hospital less  hour give birth 
 

  overall immediately feel well give birth second time first time around delivery vaginal generally pretty easy include postpartum recovery first hormone drop immediate remember feel weepysad literally second come time around even without take zurzuvae yet feel way well really experience newborn bliss everyone talk  week pp still feel completely normal aside couple random crying episode honestly attribute normal postpartum hormonal change minor 
 

  take zurzuvae not experience side effect people talk sub especially tiredness tiredness really feel normal newborn tired never really worried eat something really fatty take aside little dizziness side effect whatsoever 
 

  hard know sure zurzuvae keep ppd away get lucky hormonal balance time around either way take recommend personal opinion will not hurt try 
 

  also last thing note throughout pregnancy even postpartum tookam take vitamin supplement top prenatal iron b start take b around  week pregnant iron around ish week pregnant continue take postpartum continue  month take around  month battle ppd last time obviously talk medical professional sneaking suspicion supplement actually help keep ppd bay time around doctor purely uneducated gut feeling 
 

  tldr take zurzuvae immediately birth nd side effect ppd wks pp unsure zurzuvae help get lucky time around",0,0.8865572028,0
2,223,223,223,"Hi everyone. FTM of the most beautiful 2yr old. Of late, in the past year or so I've had crippling thoughts of something terrible happening to my baby. The thoughts literally come out of nowhere and can be triggered by the simplest of things. Like watching a TV ad with a cruise ship and thinking that my baby will fall overboard. But I have absolutely no plans of going on a cruise or anything remotely close to that. Crazy right? I know it sounds terrible but please tell me I'm not alone. I hate this feeling. When it happens I literally have to take deep breaths and reassure myself that my baby is ok and nothing bad is going to happen. I can't talk to anyone about this because they will for sure think I'm crazy but I can't live like this and I don't know where to turn. Help please!",,hi everyone ftm beautiful yr old late past year crippling thought something terrible happen baby thought literally come nowhere trigger simple thing like watch tv ad cruise ship think baby fall overboard absolutely plan go cruise anything remotely close crazy right know sound terrible please tell alone hate feeling happen literally take deep breath reassure baby ok nothing bad go happen can not talk anyone sure think crazy can not live like not know turn help please,0,0.8183541971,0
3,236,236,236,"I made a post last week about Zoloft thinking my OB would put me on it. After going through my history- trying it about 6 years ago and it having negative effects, she suggested lexapro instead. For background I am 4 months PP dealing with depression and rage. I am breastfeeding and we want to try for another baby this year so a medicine safe for both of these situations is important. 
 

 I am on day 3. I have not slept in 3 days. Maybe combined 6 hours. When I do get some sleep it is restless and horrible. I’m not one to overreact but this is actually worse than having a fresh newborn- sleep wise. Next I’m clenching my jaw without noticing, and it’s painful. I’m not sure if it’s because I get frustrated sleeping or what. Last, I’m late on my period, not pregnant. I saw online this could be because of lexapro. I really do not want it to hinder my fertility at all. 
 

 I know everyone’s initial reaction is probably to change medications but I don’t want to give up. Only a few are really “safe” for pregnancy and breastfeeding. Has anyone else had these symptoms? How long do they last? I want to give it the month at least but this is no way to live. As for my mood I can’t tell a difference yet. Tyia",,"make post last week zoloft think ob would put go history try  year ago negative effect suggest lexapro instead background  month pp deal depression rage breastfeed want try another baby year medicine safe situation important 
 

  day  sleep  day maybe combine  hour get sleep restless horrible one overreact actually bad fresh newborn sleep wise next clench jaw without notice painful sure get frustrated sleeping last late period pregnant see online could lexapro really want hinder fertility 
 

  know everyone initial reaction probably change medication not want give really safe pregnancy breastfeeding anyone else symptom long last want give month least way live mood can not tell difference yet tyia",0,0.829932955,0
4,254,254,254,"Hello all!
 

 My brother and his gf had their first baby in the fall. She has always been a bit crazy even before she got pregnant (example: made a scene at the grocery store and squared up to an older lady because she told my brother he had unique eyes - which he does, he’s received that compliment his whole life) but since having the baby, her emotions have been at an all time high on both ends. I feel terrible for her because there is no neutral ground for her anymore.
 

 I believe she knows she is having signs of PPD as she’ll post on social media crying about the baby and how she’s struggling but when my brother tries to help with anything or simply talk to her, she rages and tells him how stupid he is or that he’s a POS. One time I was on the phone with him when he asked if he could feed the baby for her because she was tired and she started screaming and said she would c*t her head off and c*t her wrist if that would make him leave her alone. About twice a week she packs her car up with the baby’s things and tries to take her daughter to her grandmas to live there while my brother is at work. Yesterday when she tried that it was because my brother was active on Snapchat while he was at work (it was something I sent him) and she thought he was cheating (he’s never cheated a day in his life). 
 

 He’s tried to bring up the ppd with her and talked about her speaking with the doctor and she just wants no part of it and gets mad again. At this point, I’m worried about her, my brother, AND the baby all being in an environment that can get that extreme. He’s at a loss for what to do and how to help, she’s living like she doesn’t want to acknowledge it, and unfortunately she doesn’t really have any friends or family she can confide in. Any advice or suggestions would be appreciated!!
 

 (Side note - I’m sorry if I come off insensitive or not understanding in any way. I’ve got no kids but I do understand how much your body goes through and how easy it is to be all over the place while you try to heal. Again, I’m just looking for help for them)",,"hello 
 

  brother gf first baby fall always bit crazy even get pregnant example make scene grocery store square old lady tell brother unique eye  receive compliment whole life since baby emotion time high end feel terrible neutral ground anymore 
 

  believe know sign ppd shell post social medium cry baby struggle brother try help anything simply talk rage tell stupid pos one time phone ask could feed baby tired start scream say would ct head ct wrist would make leave alone twice week pack car babys thing try take daughter grandma live brother work yesterday try brother active snapchat work something send think cheat never cheat day life 
 

  try bring ppd talk speak doctor want part get mad point worried brother baby environment get extreme loss help live like not want acknowledge unfortunately not really friend family confide advice suggestion would appreciate 
 

  side note  sorry come insensitive understand way get kid understand much body go easy place try heal look help",0,0.800015742,1
5,272,272,272,"My baby boy is 10weeks old. I have help at home to take care of baby. My husband usually very helpful and supportive. Once he got back to work after 1week of paternity leave, he has been working a lot(even weekends) from last 2weeks and not even spending 10mins with the baby daily. It’s bothering me a lot, I know he has lot of work to do however I am feeling sad about it.",,baby boy week old help home take care baby husband usually helpful supportive get back work week paternity leave work loteven weekend last week even spend min baby daily bother lot know lot work however feel sad,0,0.8894834203,0
6,280,280,280,"Its been a week since i had my daughter and im 17 pounds down (i was 193 pre pregnancy ,lost weight during pregnancy and got down to 180 and gained it back to about 197 at the end ). But ive realized since ive been home ive had no apetite. The first 2 days at the hosptial i was eating fine but now i eat one a day. Idk if this is a sign of ppd (cause i am aware i have it) or if its just my body going back to normal? This is also my first time in 3 years not on birth control or pregnant so maybe thats why?",,week since daughter  pound  pre pregnancy lose weight pregnancy get  gain back  end  realize since home apetite first  day hosptial eat fine eat one day  idk sign ppd cause aware body go back normal also first time  year birth control pregnant maybe,1,0.8746092677,0
7,282,282,282,"I am freshly postpartum and my world is reeling from how quick transition from pregnancy, through birth, then now has been. My husband has been absolutely wonderful support and so in love with our baby - physical recovery so far has been uncomfortable but I’ve been able to just heal in bed while easing into breastfeeding, motherhood, etc. But, I am an emotional wreck. I have a history of mental health challenges, which I’ve been able to manage with my husband and healthcare providers in my corner, and pregnancy was wonderful. 
 

 I was prepared to feel a lot of heightened emotion but am surprised at how it’s manifesting. I feel this overwhelming, suffocating grief and sadness now that pregnancy is over. I’m grateful my baby is here and that we get to spend our lives together, but I’m devastated. It’s the most confusing feeling - so happy yet so sorrowful. I wasn’t ready to no longer feel kicks or rolls, to not have my giant belly, to not listen to his heartbeat at appointments… I can’t even look at ultrasounds or photos of me while pregnant without sobbing. 
 

 And when I say sobbing, I mean sometimes to the point of just escalating into pure panic. Then the anxious thoughts starts because now that I’m not pregnant, I can’t protect my baby like I could before and something could happen. I can’t wait to watch baby grow but at the same time I want time to freeze so I can just stay in this newborn phase with my family forever. My heart can’t handle the thought of change. I just stare at the little hands and toes and cry. I’m not sure if that even makes sense. 
 

 I’m not overwhelmed by anything except how I feel. The hormone crash is intense. I’ve talked to my husband about how I’ve been feeling and it’s a struggle to form sentences through the tears. My Dr. was able to see me today and gave me referrals to great resources. So, I’m not alone. I also am aware that emotional upheaval is normal and will most likely pass as my body adjusts but… I just needed one more second with my beautiful baby while pregnant. To feel that connection again. My heart is so full and so heavy.",,"freshly postpartum world reel quick transition pregnancy birth husband absolutely wonderful support love baby  physical recovery far uncomfortable able heal bed ease breastfeed motherhood etc emotional wreck history mental health challenge able manage husband healthcare provider corner pregnancy wonderful 
 

  prepared feel lot heighten emotion surprised manifesting feel overwhelming suffocating grief sadness pregnancy grateful baby get spend life together devastate confusing feeling  happy yet sorrowful not ready long feel kick roll giant belly listen heartbeat appointment can not even look ultrasound photo pregnant without sob 
 

  say sob mean sometimes point escalate pure panic anxious thought start pregnant can not protect baby like could something could happen can not wait watch baby grow time want time freeze stay newborn phase family forever heart can not handle thought change stare little hand toe cry sure even make sense 
 

  overwhelm anything except feel hormone crash intense talk husband feel struggle form sentence tear dr able see today give referral great resource alone also aware emotional upheaval normal likely pass body adjust need one second beautiful baby pregnant feel connection heart full heavy",1,0.8092400189,1
8,283,283,283,"To all of the people in this group, I just wanted to share something that helped me tremendously on my PPD journey. I had pretty terrible PPD with a NICU baby, emergency c-section, and near-death experience during childbirth - it was one of the most challenging periods of my life. Not to mention hating breastfeeding and wanting to throw my husband off a cliff. 
 

 I did a ton of therapy, and after a while, my therapist suggested that I try psilocybin. I tried it, and it truly changed my life. It was like 50 therapy sessions in 5 hours. I don't know where I would be without today. I share this because I learned that there is a stage 2 clinical trial where moms with PPD can get access to a psilocybin experience. If anyone is really struggling - it might be worth looking into - it's incredible to be on the other side of crippling depression. 
 

 Feel free to DM or chat me, and I can share more.",,"people group want share something help tremendously ppd journey pretty terrible ppd nicu baby emergency csection neardeath experience childbirth  one challenging period life mention hate breastfeed want throw husband cliff 
 

  ton therapy therapist suggest try psilocybin try truly change life like  therapy session  hour not know would without today share learn stage  clinical trial mom ppd get access psilocybin experience anyone really struggle  might worth look  incredible side crippling depression 
 

  feel free dm chat share",0,0.8445490318,0
9,289,289,289,"I’m 4 weeks PP. my birth was easy with my son except I sprained my knee and hip. The first week home with my husband was fine. He went back to work and I’ve been sad, anxious, and angry.
 

 I just feel empty every time I look at myself. I love my son so much but I feel like I have died. We have an 18 month old golden doodle, who acts great when my husband is home but when I’m alone with her, she grabs burb cloths, pacifiers, our laundry, and some other things. I think it’s because she likes me chasing her and thinks it’s play, but I can’t chase her as well with my leg so I’ve had to lure her with treats and grab whatever when she’s been eating the treat. Lately I feel like if it’s not my son crying, my dog is whining, and I’m trying to keep the house in relative order. My leg hurts so much from all the walking around the house I’m doing it’s extremely painful for me to do the night feeds, so my husband is doing it, which is making me feel guilty as well.
 

 I was pretty good at showering when my son naps but lately I’m too scared to so I’ve waited until my husband gets home, usually I’m begging him to walk the dog (she’s usually whining to go out, but he’s does the ‘she’s fine give me a few minutes’) so I can shower with peace of mind that someone is around if he needs anything. 
 

 I get really mad now about everything. All the visitors we’ve been having I’m annoyed, when I don’t have visitors I’m anxious about being alone all day. I can’t go anywhere because I’m having car issues right now. I’m in so much pain with my legs, I’ve considered trying to cut my leg off. I’m annoyed at my husband because I spend my time cleaning up the items he leave out that my dog is grabbing and when I’m trying to have a a few minutes of me time, he ends up yelling for me to come look at what our son is doing. I’ve yelled at my dog so much and said things that are out of character for me. I’ve thought about leaving her outside and leaving her at the pound. I’ve thought about dropping her and my son off at my moms and fleeing. I say frequently I wish my husband could take my mat leave and I can go back to work. I go to sleep hoping I don’t wake up. I just feel like I’m failing everyone around me. I try talking to my husband and his solution is either to get rid of our dog or putting our son up for adoption, both I genuinely do not want because I love them both so much. I just am angry at the right now but idk how it gets better when I’m the problem?",,"week pp birth easy son except sprain knee hip first week home husband fine go back work sad anxious angry 
 

  feel empty every time look love son much feel like die  month old golden doodle act great husband home alone grab burb cloths pacifier laundry thing think like chase think play can not chase well leg lure treat grab whatever eat treat lately feel like son cry dog whine try keep house relative order leg hurt much walking around house extremely painful night feed husband make feel guilty well 
 

  pretty good shower son nap lately scared wait husband get home usually beg walk dog usually whine go fine give minute shower peace mind someone around need anything 
 

  get really mad everything visitor annoyed not visitor anxious alone day can not go anywhere car issue right much pain leg consider try cut leg  annoyed husband spend time clean item leave dog grab try minute time end yell come look son yell dog much say thing character think leave outside leave pound think drop son mom flee say frequently wish husband could take mat leave go back work go sleep hope not wake feel like fail everyone around try talk husband solution either get rid dog put son adoption genuinely want love much angry right idk get well problem",2,0.9049759819,2
10,312,312,312,"I thought I had gotten lucky and wasn’t going to get hit by ppd. I’ve been on depression meds for awhile, so I thought they were taking care of anything I could be feeling. 
 I’ve seen a lot of people in this sub say they have a hard time bonding with their baby or they just don’t love them. I love my baby more than life itself. The further I get into postpartum though, the more I hate myself. 
 

 My birth didn’t go as expected at all. I was trying to have a natural, unmediated birth. I came to terms with needing the epidural. I wasn’t dilating and the epidural wasn’t working currently for me either. So, at 3am, they rushed me back to the OR because I needed an emergency c-section since my baby started to not tolerate the contractions. During my c-section, I lost a lot of blood and kept passing out. My hemoglobin was under 7, but they didn’t want to give me blood after my c-section because I’m “young and healthy.” So, my body failed me by not dilating as it should. 
 I planned on exclusively breastfeeding, but my baby lost 13% of his body weight because I wasn’t producing enough. So, my body failed me again. 
 

 I’m snapping at my husband. I can’t sleep when the baby is sleeping because I feel like I’m failing as a mother and a wife. I want him to have the best life possible, but I just can’t get it together. 
 I have to go back to school tomorrow because it’s my last semester of nursing school. The thought of leaving him makes me sick. 
 

 I just feel like maybe my husband and baby would be better with me because all I’ve done is fail them. 
 

 

 I’m calling my OB in the morning to ask for a higher dose of depression meds, but I’m open to other advice as well.",,"think get lucky not go get hit ppd depression med awhile think take care anything could feel 
  see lot people sub say hard time bond baby not love love baby life get postpartum though hate 
 

  birth not go expect try natural unmediated birth come term need epidural not dilate epidural not work currently either rush back need emergency csection since baby start tolerate contraction csection lose lot blood keep pass hemoglobin  not want give blood csection young healthy body fail dilate 
  plan exclusively breastfeed baby lose  body weight not produce enough body fail 
 

  snap husband can not sleep baby sleep feel like fail mother wife want good life possible can not get together 
  go back school tomorrow last semester nursing school thought leave make sick 
 

  feel like maybe husband baby would well do fail 
 

 

  call ob morning ask high dose depression med open advice well",1,0.8291058627,1
